"text_headline","text_description","latitude","longitude","media_url","media_caption","media_credit","date","background_color","background_opacity","type"
"گردشگری ماکو","نقشه داستانی جاذبه‌های گردشگری منطقه ماکو؛ شامل تورهای طبیعی، تاریخی، تفریحی و اقامتی در ماکو، شوط، چالدران و پلدشت.","","","https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","جاذبه‌های گردشگری ماکو","سازمان منطقه آزاد ماکو","","","","overview"
"بام ماکو (کوه قیه)","بلندترین نقطه ماکو با ارتفاع ۱۸۶۰ متر. نمای ۳۶۰ درجه از شهر و دشت ماکو. دسترسی از جاده خاکی ماکو-دانالود. مناسب برای آفرود و کوهپیمایی.<br><b>آدرس:</b> جاده ماکو-دانالود، بعد از دو دکل مخابراتی، مسیر خاکی سمت راست<br><b>تور:</b> تور یک روزه - آفرود به بام ماکو<br><b>دسته:</b> طبیعی","39.2953","44.5134","https://lahzeakhar.com/Files/Eventimg/4874aa69-48d3-4c14-bf14-6367cd4912bc---800x500.webp","بام ماکو (کوه قیه)","لحظه آخر","","","",""
"کلیسای زر زر (ننه مریم)","کلیسای تاریخی ثبت‌شده در یونسکو. معماری بی‌نظیر با قدمت بیش از ۱۰۰۰ سال. در کنار دریاچه سد بارون واقع شده.<br><b>آدرس:</b> روستای بارون، ۱۵ کیلومتری شمال غرب ماکو<br><b>تور:</b> تور نیم روزه - کلیسای زر زر و دریاچه سد بارون<br><b>دسته:</b> تاریخی","39.3228","44.4906","https://commons.wikimedia.org/wiki/Special:FilePath/Maku_banner_The_Chapel_of_Dzordzor.jpg?width=1000","کلیسای زر زر (ننه مریم)","ویکی‌مدیا کامنز","","","",""
"دریاچه سد بارون","دریاچه‌ای زیبا در کنار کلیسای زر زر. منظره‌ای فوق‌العاده از طبیعت بکر و کوه‌های اطراف. محل مناسبی برای عکاسی و استراحت.<br><b>آدرس:</b> روستای بارون، جنب کلیسای زر زر<br><b>تور:</b> تور نیم روزه - کلیسای زر زر و دریاچه سد بارون<br><b>دسته:</b> طبیعی","39.3175","44.4789","https://www.makufz.org/wp-content/uploads/2022/02/%D8%B3%D8%AF-%D8%A8%D8%A7%D8%B1%D9%88%D9%86.jpg","دریاچه سد بارون","سازمان منطقه آزاد ماکو","","","",""
"قلعه قبان","قلعه تاریخی در مرکز ماکو. نماد ماکوی قدیم. بنایی از دوره صفویه با معماری دفاعی منحصربه‌فرد.<br><b>آدرس:</b> مرکز شهر ماکو، خیابان امام، جنب مسجد جامع<br><b>تور:</b> تور یک روزه - تاریخی شهر ماکو<br><b>دسته:</b> تاریخی","39.2970","44.5100","https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","قلعه قبان","سازمان منطقه آزاد ماکو","","","",""
"عمارت کلاه فرنگی","عمارت تاریخی با معماری منحصربه‌فرد دوره قاجار. تلفیقی از معماری ایرانی و اروپایی.<br><b>آدرس:</b> خیابان امام خمینی، روبروی پارک شهر<br><b>تور:</b> تور یک روزه - تاریخی شهر ماکو<br><b>دسته:</b> تاریخی","39.2958","44.5095","https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","عمارت کلاه فرنگی","سازمان منطقه آزاد ماکو","","","",""
"عمارت شیر و خورشید","بنای تاریخی با نماد شیر و خورشید. متعلق به دوره قاجار. دارای تزئینات گچ‌بری و آینه‌کاری.<br><b>آدرس:</b> خیابان طالقانی، کوچه شیر و خورشید<br><b>تور:</b> تور یک روزه - تاریخی شهر ماکو<br><b>دسته:</b> تاریخی","39.2965","44.5080","https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","عمارت شیر و خورشید","سازمان منطقه آزاد ماکو","","","",""
"پل قلعه جوق","پل تاریخی بر روی رودخانه ماکو. از آثار دوره صفویه. دارای معماری سنگی و طاق‌های زیبا.<br><b>آدرس:</b> جاده ماکو-بازرگان، ۵ کیلومتری شهر<br><b>تور:</b> تور یک روزه - تاریخی شهر ماکو<br><b>دسته:</b> تاریخی","39.3100","44.5150","https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","پل قلعه جوق","سازمان منطقه آزاد ماکو","","","",""
"کاخ سردار (باغچه جوق)","کاخ تاریخی سردار ماکو در روستای باغچه جوق. متعلق به دوره قاجار. دارای باغ‌های سرسبز و معماری باشکوه.<br><b>آدرس:</b> روستای باغچه جوق، ۸ کیلومتری جاده ماکو-بازرگان<br><b>تور:</b> تور یک روزه - تاریخی شهر ماکو<br><b>دسته:</b> تاریخی","39.2800","44.5200","https://commons.wikimedia.org/wiki/Special:FilePath/Baghche_jough.jpg?width=1000","کاخ سردار (باغچه جوق)","ویکی‌مدیا کامنز","","","",""
"دخمه فرهاد","آرامگاه تاریخی مربوط به دوران باستان. بنایی سنگی با معماری ساده و قدیمی. داستان‌های افسانه‌ای درباره فرهاد و شیرین.<br><b>آدرس:</b> جنب قلعه قبان، انتهای خیابان ۱۷ شهریور<br><b>تور:</b> تور یک روزه - تاریخی شهر ماکو<br><b>دسته:</b> تاریخی","39.2980","44.5120","https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","دخمه فرهاد","سازمان منطقه آزاد ماکو","","","",""
"آبگرم شوط","چشمه آبگرم طبیعی با خواص درمانی. آب گرم با دمای ۴۰ درجه و مواد معدنی مفید برای پوست و استخوان.<br><b>آدرس:</b> شهرستان شوط، ۳۰ کیلومتری شمال ماکو<br><b>تور:</b> تور دو روزه - آبگرم شوط، کلیساها، چشمه ثریا و تالاب بورالان<br><b>دسته:</b> طبیعی","39.2200","44.7700","https://www.makufz.org/wp-content/uploads/2022/02/%D8%A2%D8%A8%DA%AF%D8%B1%D9%85-%D8%B4%D9%88%D8%B7.jpg","آبگرم شوط","سازمان منطقه آزاد ماکو","","","",""
"قره کلیسا (کلیسای تادئوس)","یکی از معروف‌ترین کلیساهای تاریخی ایران (ثبت یونسکو). قدمت بیش از ۱۵۰۰ سال. معماری بی‌نظیر با سنگ‌های سیاه.<br><b>آدرس:</b> شهرستان چالدران، ۸۰ کیلومتری شمال ماکو<br><b>تور:</b> تور دو روزه - آبگرم شوط، کلیساها، چشمه ثریا و تالاب بورالان<br><b>دسته:</b> تاریخی","39.1850","44.4800","https://commons.wikimedia.org/wiki/Special:FilePath/Saint_Thaddeus_Monastery,_Iran,_northwestern_view.jpg?width=1000","قره کلیسا (کلیسای تادئوس)","ویکی‌مدیا کامنز","","","",""
"روستای بارون","روستای مقصد برای اقامت در تور دو روزه. محل اقامت در بوم‌گردی بارون. طبیعت بکر و هوای خنک کوهستانی.<br><b>آدرس:</b> روستای بارون، ۱۵ کیلومتری شمال غرب ماکو<br><b>تور:</b> تور دو روزه - آبگرم شوط، کلیساها، چشمه ثریا و تالاب بورالان<br><b>دسته:</b> اقامتی","39.3150","44.4800","https://www.makufz.org/wp-content/uploads/2022/02/%D8%B3%D8%AF-%D8%A8%D8%A7%D8%B1%D9%88%D9%86.jpg","روستای بارون","سازمان منطقه آزاد ماکو","","","",""
"منشورهای بازالتی","پدیده زمین‌شناسی طبیعی با ستون‌های بازالتی شش‌ضلعی. یکی از نادرترین پدیده‌های زمین‌شناسی ایران.<br><b>آدرس:</b> منطقه بورالان، ۴۰ کیلومتری شمال شرق ماکو<br><b>تور:</b> تور دو روزه - آبگرم شوط، کلیساها، چشمه ثریا و تالاب بورالان<br><b>دسته:</b> طبیعی","39.1400","44.5400","https://www.makufz.org/wp-content/uploads/2022/03/%D8%AF%D8%B1%D9%87-%D9%88-%D8%A2%D8%A8%D8%B4%D8%A7%D8%B1-%D8%B1%D9%86%D8%AF.jpg","منشورهای بازالتی","سازمان منطقه آزاد ماکو","","","",""
"چشمه ثریا","چشمه طبیعی با آب زلال و منظره‌ای بکر. آب بسیار گوارا با دمای پایین. محوطه‌ای سبز برای استراحت و پیک‌نیک.<br><b>آدرس:</b> منطقه بورالان، نزدیک تالاب بورالان<br><b>تور:</b> تور دو روزه - آبگرم شوط، کلیساها، چشمه ثریا و تالاب بورالان<br><b>دسته:</b> طبیعی","39.1500","44.5500","https://www.makufz.org/wp-content/uploads/2022/03/%D8%AF%D8%B1%D9%87-%D9%88-%D8%A2%D8%A8%D8%B4%D8%A7%D8%B1-%D8%B1%D9%86%D8%AF.jpg","چشمه ثریا","سازمان منطقه آزاد ماکو","","","",""
"تالاب بورالان","تالاب زیبا با پرندگان مهاجر و طبیعت دست‌نخورده. زیستگاه انواع پرندگان آبزی و گیاهان کمیاب. منطقه حفاظت‌شده.<br><b>آدرس:</b> منطقه بورالان، ۴۵ کیلومتری شمال شرق ماکو<br><b>تور:</b> تور دو روزه - آبگرم شوط، کلیساها، چشمه ثریا و تالاب بورالان<br><b>دسته:</b> طبیعی","39.1800","44.6200","https://www.makufz.org/wp-content/uploads/2022/02/%D8%AA%D8%A7%D9%84%D8%A7%D8%A8-%D8%A8%D9%88%D8%B1%D8%A7%D9%84%D8%A7%D9%86.jpg","تالاب بورالان","سازمان منطقه آزاد ماکو","","","",""
"تفرجگاه ارس (رودخانه ارس)","رودخانه مرزی با طبیعت سرسبز و امکانات تفریحی. منطقه‌ای مناسب برای ماهی‌گیری، قایق‌رانی و طبیعت‌گردی.<br><b>آدرس:</b> شهرستان پلدشت، حاشیه رودخانه ارس<br><b>تور:</b> تور یک روزه - ارس گردی و قایق‌رانی<br><b>دسته:</b> تفریحی","39.3560","45.0620","https://commons.wikimedia.org/wiki/Special:FilePath/Jolfa-Aras-3.jpg?width=1000","تفرجگاه ارس (رودخانه ارس)","ویکی‌مدیا کامنز","","","",""
"پل دوستی","پل بر روی رودخانه ارس، نماد صلح و دوستی بین ایران و جمهوری نخجوان. معماری مدرن و منظره‌ای زیبا.<br><b>آدرس:</b> شهرستان پلدشت، رودخانه ارس<br><b>تور:</b> تور یک روزه - ارس گردی و قایق‌رانی<br><b>دسته:</b> تفریحی","39.3605","45.0707","https://www.makufz.org/wp-content/uploads/2022/03/%DA%A9%D9%85%D9%BE-%D8%A7%D8%B1%D8%B3.jpg","پل دوستی","سازمان منطقه آزاد ماکو","","","",""
"کمپ تفریحی ارس","مجتمع تفریحی با قایق‌رانی، رستوران، آلاچیق، سرویس بهداشتی و امکانات رفاهی. نزدیک سد بزرگ ارس.<br><b>آدرس:</b> شهرستان پلدشت، جنب سد ارس<br><b>تور:</b> تور یک روزه - ارس گردی و قایق‌رانی<br><b>دسته:</b> تفریحی","39.1800","45.2950","https://commons.wikimedia.org/wiki/Special:FilePath/Aras_Dam.jpg?width=1000","کمپ تفریحی ارس","ویکی‌مدیا کامنز","","","",""
