title,description,address,lat,lng,image,tour_name,category
"بام ماکو (کوه قیه)","بلندترین نقطه ماکو با ارتفاع ۱۸۶۰ متر. نمای ۳۶۰ درجه از شهر و دشت ماکو. دسترسی از جاده خاکی ماکو-دانالود. مناسب برای آفرود و کوهپیمایی.","جاده ماکو-دانالود، بعد از دو دکل مخابراتی، مسیر خاکی سمت راست",39.2953,44.5134,"https://www.makufz.org/wp-content/uploads/2022/03/%D8%AF%DA%A9%D9%84-%D9%85%D8%AE%D8%A7%D8%A8%D8%B1%D8%A7%D8%AA%DB%8C.jpg","تور یک روزه - آفرود به بام ماکو","طبیعی"
"کلیسای زر زر (ننه مریم)","کلیسای تاریخی ثبت‌شده در یونسکو. معماری بی‌نظیر با قدمت بیش از ۱۰۰۰ سال. در کنار دریاچه سد بارون واقع شده.","روستای بارون، ۱۵ کیلومتری شمال غرب ماکو",39.3228,44.4906,"https://www.makufz.org/wp-content/uploads/2022/02/%D8%B3%D8%AF-%D8%A8%D8%A7%D8%B1%D9%88%D9%86.jpg","تور نیم روزه - کلیسای زر زر و دریاچه سد بارون","تاریخی"
"دریاچه سد بارون","دریاچه‌ای زیبا در کنار کلیسای زر زر. منظره‌ای فوق‌العاده از طبیعت بکر و کوه‌های اطراف. محل مناسبی برای عکاسی و استراحت.","روستای بارون، جنب کلیسای زر زر",39.3175,44.4789,"https://www.makufz.org/wp-content/uploads/2022/02/%D8%B3%D8%AF-%D8%A8%D8%A7%D8%B1%D9%88%D9%86.jpg","تور نیم روزه - کلیسای زر زر و دریاچه سد بارون","طبیعی"
"قلعه قبان","قلعه تاریخی در مرکز ماکو. نماد ماکوی قدیم. بنایی از دوره صفویه با معماری دفاعی منحصربه‌فرد.","مرکز شهر ماکو، خیابان امام، جنب مسجد جامع",39.2970,44.5100,"https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","تور یک روزه - تاریخی شهر ماکو","تاریخی"
"عمارت کلاه فرنگی","عمارت تاریخی با معماری منحصربه‌فرد دوره قاجار. تلفیقی از معماری ایرانی و اروپایی.","خیابان امام خمینی، روبروی پارک شهر",39.2958,44.5095,"https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","تور یک روزه - تاریخی شهر ماکو","تاریخی"
"عمارت شیر و خورشید","بنای تاریخی با نماد شیر و خورشید. متعلق به دوره قاجار. دارای تزئینات گچ‌بری و آینه‌کاری.","خیابان طالقانی، کوچه شیر و خورشید",39.2965,44.5080,"https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","تور یک روزه - تاریخی شهر ماکو","تاریخی"
"پل قلعه جوق","پل تاریخی بر روی رودخانه ماکو. از آثار دوره صفویه. دارای معماری سنگی و طاق‌های زیبا.","جاده ماکو-بازرگان، ۵ کیلومتری شهر",39.3100,44.5150,"https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","تور یک روزه - تاریخی شهر ماکو","تاریخی"
"کاخ سردار (باغچه جوق)","کاخ تاریخی سردار ماکو در روستای باغچه جوق. متعلق به دوره قاجار. دارای باغ‌های سرسبز و معماری باشکوه.","روستای باغچه جوق، ۸ کیلومتری جاده ماکو-بازرگان",39.2800,44.5200,"https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","تور یک روزه - تاریخی شهر ماکو","تاریخی"
"دخمه فرهاد","آرامگاه تاریخی مربوط به دوران باستان. بنایی سنگی با معماری ساده و قدیمی. داستان‌های افسانه‌ای درباره فرهاد و شیرین.","جنب قلعه قبان، انتهای خیابان ۱۷ شهریور",39.2980,44.5120,"https://www.makufz.org/wp-content/uploads/2022/03/%D8%AA%D9%88%D8%B1-%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C-%D9%85%D8%A7%DA%A9%D9%88.jpg","تور یک روزه - تاریخی شهر ماکو","تاریخی"
"آبگرم شوط","چشمه آبگرم طبیعی با خواص درمانی. آب گرم با دمای ۴۰ درجه و مواد معدنی مفید برای پوست و استخوان.","شهرستان شوط، ۳۰ کیلومتری شمال ماکو",39.2200,44.7700,"https://www.makufz.org/wp-content/uploads/2022/02/%D8%A2%D8%A8%DA%AF%D8%B1%D9%85-%D8%B4%D9%88%D8%B7.jpg","تور دو روزه - آبگرم شوط، کلیساها، چشمه ثریا و تالاب بورالان","طبیعی"
